isosmiles,Formula,SMILES,Ref
N#CC1(C#N)C2CC(C(Cl)C2Cl)C1(C(F)(F)F)C(F)(F)F,C11H6Cl2F6N2,FC(F)(F)C1(C2CC(C(Cl)C2Cl)C1(C#N)C#N)C(F)(F)F,EPA_Dashboard
O=S(=O)(OC1=CCCCC1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H9F9O3S,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)OC1=CCCCC1,EPA_Dashboard
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H11F13N2O5,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
OCC1OC(O)C(O)(C(F)(F)C(F)(F)C(F)(F)F)C1O,C8H9F7O5,[H][C@]1(CO)O[C@]([H])(O)[C@](O)([C@]1([H])O)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccc1,C13H5F15,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=CC=C1,EPA_Dashboard
FC(=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C8F16,FC(=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,EPA_Dashboard
FC(F)C(F)(F)OCC(F)(F)C(F)(F)F,C5H3F9O,FC(F)C(F)(F)OCC(F)(F)C(F)(F)F,EPA_Dashboard
CCOC(=O)C(=O)C(F)(C(F)(F)F)C(F)(F)F,C7H5F7O3,CCOC(=O)C(=O)C(F)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
FC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)c1cc2ccccc2s1,C13H5F11OS,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C1=CC2=CC=CC=C2S1)C(F)(F)F,EPA_Dashboard
FC1(F)COCOCC1(F)F,C5H6F4O2,FC1(F)COCOCC1(F)F,EPA_Dashboard
CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)(=O)C(C)C,C15H15F7O4S,CCC1=C(C(=CC=C1C(O)=O)C(F)(C(F)(F)F)C(F)(F)F)S(=O)(=O)C(C)C,EPA_Dashboard
FC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(N1CCCCC1)n1nnc2ccccc21,C17H15F11N4O,FC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(N1N=NC2=CC=CC=C12)N1CCCCC1,EPA_Dashboard
CCOC(=O)C(C(C)=O)C(O)(C(F)(F)F)C(F)(F)F,C9H10F6O4,CCOC(=O)C(C(C)=O)C(O)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H23F9O,OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
CCCCCCCCCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C24H31F17,CCCCCCCCCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
FC1(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C3(F)C(F)(F)C(F)(F)C(F)(C1(F)F)C23F,C12F20,FC1(F)C(F)(F)C2(F)C3(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C3(F)C(F)(F)C(F)(F)C2(F)F,EPA_Dashboard
Fc1cc2c(cc1F)C(F)(F)C(F)(Cl)C2(F)F,C9H2ClF7,FC1=C(F)C=C2C(=C1)C(F)(F)C(F)(Cl)C2(F)F,EPA_Dashboard
O=P(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C24H12F39O4P,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOP(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H7F13O2,CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
OCc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,C15H7F17O,OCC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
C[N+](C)(CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],C14H14F15NO2,C[N+](C)(CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,EPA_Dashboard
O=C(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C18H4F32O2,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
COc1ccc(C(=O)C#CC(F)(F)C(F)(F)C(F)(F)F)cc1,C13H7F7O2,COC1=CC=C(C=C1)C(=O)C#CC(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
