isosmiles,Formula,SMILES,Ref
CCCCCCCCC(C(O)c1ccccc1)C(O)(C(F)(F)F)C(F)(F)F,C19H26F6O2,CCCCCCCCC(C(O)C1=CC=CC=C1)C(O)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16H8F26O,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
Nc1ccc2c(c1)C(F)(F)OC(F)(F)O2,C8H5F4NO2,NC1=CC2=C(OC(F)(F)OC2(F)F)C=C1,EPA_Dashboard
O=C(O)c1ccc(OCC(F)(F)C(F)(F)C(F)(F)F)cc1,C11H7F7O3,OC(=O)C1=CC=C(OCC(F)(F)C(F)(F)C(F)(F)F)C=C1,EPA_Dashboard
CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,C7H3F13,CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
OCCCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,C7H7F9O,OCCCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,EPA_Dashboard
OCC1(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,C8H6F10O2,OCC1(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,EPA_Dashboard
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C18H2F34O2,[H]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,EPA_Dashboard
O=C(C(F)(F)F)C(F)(F)C(F)(F)Cl,C4ClF7O,FC(F)(F)C(=O)C(F)(F)C(F)(F)Cl,EPA_Dashboard
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H2F19NO,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
C=CCOC(=O)C(F)(CC=C)C(F)(F)F,C9H10F4O2,FC(F)(F)C(F)(CC=C)C(=O)OCC=C,EPA_Dashboard
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(Cl)CCl,C7H3Cl2F11,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(Cl)CCl,EPA_Dashboard
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2c(F)c(F)c(F)c(F)c2F)c1,C25H14F12N2O2,CC1=CC(=CC(C)=C1NC(=O)C1=CC=CC(NC(=O)C2=C(F)C(F)=C(F)C(F)=C2F)=C1)C(F)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
N=C(NC(=N)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,C14H8F13N3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=N)NC(=N)C1=CC=CC=C1,EPA_Dashboard
CCN(CC)C(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,C13H10F17NO3,CCN(CC)C(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,EPA_Dashboard
O=C(CCF)C(F)(F)C(F)(F)F,C5H4F6O,FCCC(=O)C(F)(F)C(F)(F)F,EPA_Dashboard
CCCCCCCCCCOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,C16H21F11O3,CCCCCCCCCCOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1OCOO1,C10H3F17O3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1OCOO1,EPA_Dashboard
O=S1(=O)OC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)F,C5F10O3S,FC(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)OS1(=O)=O,EPA_Dashboard
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO,C8H10F8O2,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO,EPA_Dashboard
FCC(F)(F)OC(F)(F)F,C3H2F6O,FCC(F)(F)OC(F)(F)F,EPA_Dashboard
COC(=O)C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H4ClF9O2,COC(=O)C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1ccco1,C10H5F7O3,FC(F)(F)C(F)(F)C(F)(F)C(=O)CC(=O)C1=CC=CO1,EPA_Dashboard
O=C(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)F,C4F8O3S,FC(=O)C(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O,EPA_Dashboard
COc1ccc(C2C(F)(F)C2(F)F)cc1,C10H8F4O,COC1=CC=C(C=C1)C1C(F)(F)C1(F)F,EPA_Dashboard
Cc1ccc(S(=O)(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COS(=O)(=O)c2ccc(C)cc2)cc1,C20H18F8O6S2,CC1=CC=C(C=C1)S(=O)(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COS(=O)(=O)C1=CC=C(C)C=C1,EPA_Dashboard
FC1=NC(F)(F)C(F)(F)N1C(F)(F)F,C4F8N2,FC1=NC(F)(F)C(F)(F)N1C(F)(F)F,EPA_Dashboard
FC(F)(F)C(F)(C1=NS1(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,C7F15NS,FC(F)(F)C(F)(C1=NS1(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,EPA_Dashboard
CC(=O)C=C(S)C(F)C(F)(F)F,C6H6F4OS,CC(=O)C=C(S)C(F)C(F)(F)F,EPA_Dashboard
FC(F)(Cl)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)Cl,C6Cl5F9,FC(F)(Cl)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)Cl,EPA_Dashboard
FC1=C(F)C(F)(C(F)(F)F)C1(F)F,C5F8,FC1=C(F)C(F)(C(F)(F)F)C1(F)F,EPA_Dashboard
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C6H3ClF8,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C=C,EPA_Dashboard
N#Cc1ccc(CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc1,C14H6F13N,FC(F)(F)C(F)(F)C(F)(F)C(CC1=CC=C(C=C1)C#N)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
FC(F)(F)N1C(F)(F)C(F)(F)C1(F)F,C4F9N,FC(F)(F)N1C(F)(F)C(F)(F)C1(F)F,EPA_Dashboard
Cc1c(N)ccc(SC(F)(F)C(F)F)c1C,C10H11F4NS,CC1=C(N)C=CC(SC(F)(F)C(F)F)=C1C,EPA_Dashboard
CC(CNC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,C13H12F7NO,CC(CNC(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=CC=CC=C1,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C14H12F18,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
NNC(=NNC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,C8H4F14N4O,NNC(=NNC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
OC(C(F)F)(C(F)(F)F)C(F)(F)F,C4H2F8O,OC(C(F)F)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
CC(C)=COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H7F9O3S,CC(C)=COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
FC1(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C3(F)C(F)(F)C(F)(F)C4(F)C(F)(F)C(F)(F)C5(F)C(F)(F)C(F)(F)C6(F)C(F)(F)C(F)(F)C1(F)C1(F)C2(F)C3(F)C4(F)C5(F)C61F,C24F36,FC1(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C3(F)C(F)(F)C(F)(F)C4(F)C(F)(F)C(F)(F)C5(F)C(F)(F)C(F)(F)C6(F)C(F)(F)C(F)(F)C1(F)C1(F)C2(F)C3(F)C4(F)C5(F)C61F,EPA_Dashboard
OCCCCCCC(F)(C(F)(F)F)C(F)(F)F,C9H13F7O,OCCCCCCC(F)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cccc(Oc2cccc(Oc3cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c3)c2)c1,C30H12F26O2,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC(OC2=CC(OC3=CC=CC(=C3)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=CC=C2)=CC=C1,EPA_Dashboard
Oc1ccc(OC(O)(C(F)(F)F)C(F)(F)F)cc1,C9H6F6O3,OC1=CC=C(OC(O)(C(F)(F)F)C(F)(F)F)C=C1,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCc1cccc(P(c2cccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c2cccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c1,C42H24F39P,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC1=CC(=CC=C1)P(C1=CC=CC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1)C1=CC=CC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1,EPA_Dashboard
CC(=O)Nc1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1,C11H8F7NO,CC(=O)NC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
Cc1ccc(CC(O)(C(F)(F)F)C(F)(F)F)n1C,C10H11F6NO,CN1C(C)=CC=C1CC(O)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
FC(F)OC(F)(F)C(F)C(F)(F)F,C4H2F8O,FC(F)OC(F)(F)C(F)C(F)(F)F,EPA_Dashboard
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C10H2F20,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,EPA_Dashboard
O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C14HF30O2P,OP(=O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
FC(F)C(F)(F)C1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,C14H11Cl2F4N3O2,FC(F)C(F)(F)C1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,EPA_Dashboard
CNc1nc(OC(C(F)(F)F)C(F)(F)F)nc(N(c2ccccc2)c2ccccc2)n1,C19H15F6N5O,CNC1=NC(=NC(OC(C(F)(F)F)C(F)(F)F)=N1)N(C1=CC=CC=C1)C1=CC=CC=C1,EPA_Dashboard
CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H13F11,CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
C=CCC(F)(C(=O)O)C(F)(F)F,C6H6F4O2,OC(=O)C(F)(CC=C)C(F)(F)F,EPA_Dashboard
COC(F)(F)C(F)(F)C(F)(F)F,C4H3F7O,COC(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,C12H6F20O2,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,EPA_Dashboard
COC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,C10H3F17O4,COC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(F)C=Nc1ccccc1,C10H6F7N,FC(F)(F)C(F)(F)C(F)(F)\C=N\C1=CC=CC=C1,EPA_Dashboard
COc1ccc(COC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1,C12H9F7O3,COC1=CC=C(COC(=O)C(F)(F)C(F)(F)C(F)(F)F)C=C1,EPA_Dashboard
FC(F)(F)OC(F)(F)OC(F)(Cl)C(F)(F)Cl,C4Cl2F8O2,FC(F)(F)OC(F)(F)OC(F)(Cl)C(F)(F)Cl,EPA_Dashboard
C=COCCC(F)(C(F)(F)F)C(F)(F)F,C7H7F7O,FC(F)(F)C(F)(CCOC=C)C(F)(F)F,EPA_Dashboard
Fc1c(F)c2c(c(F)c1Cl)C(Cl)(Cl)C(F)(F)C2(F)F,C9Cl3F7,FC1=C(F)C(Cl)=C(F)C2=C1C(F)(F)C(F)(F)C2(Cl)Cl,EPA_Dashboard
FC(F)=C1C(=C(F)F)C(F)(F)C1(F)F,C6F8,FC(F)=C1C(=C(F)F)C(F)(F)C1(F)F,EPA_Dashboard
CC(F)(F)C(O)(F)F,C3H4F4O,CC(F)(F)C(O)(F)F,EPA_Dashboard
CC(C)(O)CC(O)(C(F)(F)F)C(F)(F)F,C7H10F6O2,CC(C)(O)CC(O)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
O=C(Nc1cccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1)C(F)(F)C(F)(F)C(F)(F)F,C14H6F14N2O2,FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1=CC(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)=CC=C1,EPA_Dashboard
CC(=O)n1nc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C13H4F18N2O,CC(=O)N1N=C(C=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
NC(=CC(=O)C(F)(F)C(F)F)C(F)(F)C(F)F,C7H5F8NO,NC(=CC(=O)C(F)(F)C(F)F)C(F)(F)C(F)F,EPA_Dashboard
O=C(CC(O)(C(F)(F)F)C(F)(F)F)C(CCCl)C(O)(C(F)(F)F)C(F)(F)F,C11H9ClF12O3,OC(CC(=O)C(CCCl)C(O)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
C=COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H7F9O,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC=C,EPA_Dashboard
O=S(=O)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16H2F32O3S,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
Oc1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1,C9H5F7O,OC1=CC=C(C=C1)C(F)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
O=C(C=C(C(F)(F)F)C(F)(F)F)c1ccc(-c2ccccc2)cc1,C17H10F6O,FC(F)(F)C(=CC(=O)C1=CC=C(C=C1)C1=CC=CC=C1)C(F)(F)F,EPA_Dashboard
FC1(F)SC(F)(F)C(F)(F)SC1(F)F,C4F8S2,FC1(F)SC(F)(F)C(F)(F)SC1(F)F,EPA_Dashboard
Oc1cccc(C(F)(F)C(F)F)c1,C8H6F4O,OC1=CC=CC(=C1)C(F)(F)C(F)F,EPA_Dashboard
FC(=C(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)C(F)=C(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C14F26,FC(=C(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)C(F)=C(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
O=P1(OCC(F)(F)C(F)F)Oc2ccccc2O1,C9H7F4O4P,FC(F)C(F)(F)COP1(=O)OC2=CC=CC=C2O1,EPA_Dashboard
CNc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C10H9F6NO,CNC1=CC=C(C=C1)C(O)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
O=C(OC(C(F)(F)F)C(F)(F)F)c1cnccn1,C8H4F6N2O2,FC(F)(F)C(OC(=O)C1=CN=CC=N1)C(F)(F)F,EPA_Dashboard
FC(F)=NC(F)(F)C(F)(F)C(F)(F)F,C4F9N,FC(F)=NC(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
O=C(N(CC(O)c1ccccc1)C(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,C16H9F14NO3,OC(CN(C(=O)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=CC=CC=C1,EPA_Dashboard
COc1ccccc1NC(=O)CCCC(=O)OCC(F)(F)C(F)F,C15H17F4NO4,COC1=CC=CC=C1NC(=O)CCCC(=O)OCC(F)(F)C(F)F,EPA_Dashboard
O=c1[nH]cc(C(F)(C(F)(F)F)C(F)(F)F)c(=O)[nH]1,C7H3F7N2O2,FC(F)(F)C(F)(C1=CNC(=O)NC1=O)C(F)(F)F,EPA_Dashboard
O=C(ONC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,C6HF10NO3,FC(F)(F)C(=O)ONC(=O)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
CCN(CC(F)(F)C(F)F)c1ccccc1,C11H13F4N,CCN(CC(F)(F)C(F)F)C1=CC=CC=C1,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(Cl)Cl,C3Cl2F6,FC(F)(F)C(F)(F)C(F)(Cl)Cl,EPA_Dashboard
CC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H5F11O2,CC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,C12H7F7O2,FC(F)(F)C(F)(F)C(F)(F)C(=O)CC(=O)C1=CC=CC=C1,EPA_Dashboard
O=C(O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,C5HF9O3,OC(=O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
Nc1ccccc1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H6F13N,NC1=CC=CC=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
CCCOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,C9H7F11O3,CCCOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,EPA_Dashboard
FC(F)(c1nc2ccccc2[nH]1)C(F)(F)C(F)(F)c1nc2ccccc2[nH]1,C17H10F6N4,FC(F)(C1=NC2=CC=CC=C2N1)C(F)(F)C(F)(F)C1=NC2=CC=CC=C2N1,EPA_Dashboard
CC(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C7H3F13,CC(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,EPA_Dashboard
FC(F)(F)C(F)(F)CCCCCCCCCCCCCCS,C16H29F5S,FC(F)(F)C(F)(F)CCCCCCCCCCCCCCS,EPA_Dashboard
CCSC(SCC)=C(F)C(F)(F)C(F)(F)F,C8H10F6S2,CCSC(SCC)=C(F)C(F)(F)C(F)(F)F,EPA_Dashboard
NC(=O)C(F)(F)C(F)(F)C(=O)Nc1ccccc1N,C10H9F4N3O2,NC(=O)C(F)(F)C(F)(F)C(=O)NC1=CC=CC=C1N,EPA_Dashboard
FC(F)(F)C(F)(F)P(CCP(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C10H4F20P2,FC(F)(F)C(F)(F)P(CCP(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,EPA_Dashboard
CCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H17F13,CCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C1(F)F,C10F18,FC1(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F,EPA_Dashboard
FC(F)(Cl)C1(F)OC1(F)F,C3ClF5O,FC(F)(Cl)C1(F)OC1(F)F,EPA_Dashboard
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C5H2F9NO,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
O=S(=O)(F)OC(F)(F)C(F)(F)Cl,C2ClF5O3S,FC(F)(Cl)C(F)(F)OS(F)(=O)=O,EPA_Dashboard
CCC(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C7H5F9O2,CCC(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
NS(=O)(=O)c1nnc(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)s1,C6H3F9N4O4S3,NS(=O)(=O)C1=NN=C(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S1,EPA_Dashboard
O=P(O)(O)CCC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)P(=O)(O)O,C11H11F15O6P2,OP(O)(=O)CCC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)P(O)(O)=O,EPA_Dashboard
CC(C(=O)c1ccc(Cl)cc1)C(O)(C(F)(F)F)C(F)(F)F,C12H9ClF6O2,CC(C(=O)C1=CC=C(Cl)C=C1)C(O)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
CCOC(O)(C(F)(F)F)C(F)(F)F,C5H6F6O2,CCOC(O)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C19H23F17O,OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
O=P(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(N1CC1)N1CC1,C13H12F15N2OP,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCP(=O)(N1CC1)N1CC1,EPA_Dashboard
FC1C(F)(F)C1(F)F,C3HF5,FC1C(F)(F)C1(F)F,EPA_Dashboard
FC(F)=C(F)OC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,C6F12O3,FC(F)=C(F)OC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,EPA_Dashboard
O=S(=O)(N1CCCCCC1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C14H12F17NO2S,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)N1CCCCCC1,EPA_Dashboard
FC(F)(F)N(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)F)C(F)(F)F)C(F)(F)F,C12H4F24N2,FC(F)(F)N(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)F)C(F)(F)F)C(F)(F)F,EPA_Dashboard
CCOC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,C8H7F7O3,CCOC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
COc1cccc(C(=O)C=C(C(F)(F)F)C(F)(F)F)c1,C12H8F6O2,COC1=CC=CC(=C1)C(=O)C=C(C(F)(F)F)C(F)(F)F,EPA_Dashboard
O=C(OCC(F)(F)C(F)F)c1ccc([N+](=O)[O-])cc1,C10H7F4NO4,[O-][N+](=O)C1=CC=C(C=C1)C(=O)OCC(F)(F)C(F)F,EPA_Dashboard
CCOC(=CC(F)=C(C(F)(F)F)C(F)(F)F)OCC,C10H11F7O2,CCOC(OCC)=CC(F)=C(C(F)(F)F)C(F)(F)F,EPA_Dashboard
COC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,C8H6F8O3,COC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,EPA_Dashboard
O=C(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C5F10O,FC(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
